project_id,open_project_id,project_title,project_objective,scale,country,region,undp_role_type,thematic_focus,ssc_description,territorial_focus,partner_type,project_link,edit_link
"00058295",00058295,"The Court of Auditors- a tool of transparency and trust in public management (La cour des comptes- outil de transparence et de confiance dans la gestion publique)","To support the  Court of Auditors incontext of institutional reforms underway to enroll in a system of democratic governance; strengthen human resources and develop a quality system based on international standards of management of public finances.","country-country","TUN","arab_states","knowledge_broker|facilitator_of_partnerships","inclusive_and_effective_democratic_governance","The project promotes the Court's active participation and contribution to regional networks to promote the principles of transparency and integrity, through- (1) participation of the Court of Auditors in the meetings and work of INTOSAI; (2) Strengthening partnerships and twinning operations with similar control of the institutions; (3) participation of the Court of Auditors cycles organized training by international organizations and regional International Organisation of Supreme Audit Institutions (INTOSAI) and Arab Organization of Supreme Court Institutions (ARABOSAI); (4) organizing infromation visits to similar supreme audit institutions of Morocco, Algeria, Portugal; (5)  organizing a conference on South-South cooperation.","mic","regional_inter_governmental_organizations|international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00058295","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00058295.txt"
"00058496",00058496,"Supporting integrated border management systems in the South Caucasus Integrated Boarder Management (SCIBM)","Objectives- To enhance inter-agency, bilateral and regional co-operation between the SC countries, EUMS and other international stakeholders; To facilitate the movement of persons and goods across borders. Develop and establish broad BCP level procedures and operations. Enhance strategic border management capacities; target groups- Armenia, Azerbaijan, Georgia. Project is funded by the EU and UNDP.","country-country","AZE","europe_cis","knowledge_broker","inclusive_and_effective_democratic_governance","UNDP facilitates study tours for decision makers and operational staff from all three countries to EU member states. UNDP will facilitate the information exchange between the three countries which allow for the improved border management capacities and strengthened cooperation. The agency has the lead in the consortium composed by several members (national, law-enforcement institutions), and is in charge of selecting a Principle Advisor.","mic","international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00058496","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00058496.txt"
"00058568",00058568,"Inclusive Economic Development","The aim of this initiative is the economic integration for people in poverty and vulnerability by developing a policy of productive inclusion and strengthening local capacities. In particular, local capacities will be strengthened for the productive integration of poor and vulnerable population","country-country","COL","lac","knowledge_broker","sustainable_development_pathways","UNDP provided technical assistance and facilitated knowledge transfer- (1) from Colombia to Ecuador for the Development of Inclusive markets. As a result, COLENALP company was established with 180 associated farmers of Pasto. Technical assistance allowed the farmers to join the company as producers of Floralp. The company's products are being distributed in the country; (2) between Panama and Colombia on strengthening the national capacities (of the Ministry of Labor) in policy development, programs and specific instruments to promote gender equality and the economic empowerment of women as an effective way to reduce poverty and promote the improvement of their living conditions of the population.","mic","national_governments|sub_national_governments|cso|private_sector","http://open.undp.org/#project-00058568","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00058568.txt"
"00058643",00058643,"Reduction and Prevention of pollution from land in the Rio de la Plata and its Maritime Front through implementation of the Strategic Action Programme","To advance towards the sustainability of uses and resources of the Rio de la Plata and its Maritime Front through implementation of the strategic action program aimed at the reduction and prevention of pollution from land","country-country","ARG","lac","knowledge_broker","resilience_building","UNDP provided technical assistance","mic","national_governments","http://open.undp.org/#project/00058643","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00058643.txt"
"00058785",00058785,"Integrated Community Development for Up-scaling the MDG's","To improve MDG related service delivery through an integrated community development based approach. This project will provide a framework for the UNCT to demonstrate concrete impact on the ground and enhance local capacity for service delivery to meet the nationally agreed goals and prioritized development needs. The planned interventions also aim at demonstrating how targeted multi-sectoral integrated interventions, especially through enhanced service delivery, can upscale the achievement of the MDGs.","country-country","SYR","arab_states","knowledge_broker","sustainable_development_pathways","UNDP will utilize South-South Cooperation modalities to retreive comparative experiences and engage relevant expertise. ","fragile_states","international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00058785","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00058785.txt"
"00058898",00058898,"National Institution Building Project (NIBP)","To bolster the Government of Afghanistan's ability to effectively deliver public services to its citizens. NIBP has played a pivotal role in facilitating the partnership with the Government of Azerbaijan, supports the organizational capacity enhancement of select government ministries and entities at the national and sub-national levels in Afghanistan. The project is co-funded by the Government of India","country-country","AFG","asia_pacific","builder_of_capacities|knowledge_broker","inclusive_and_effective_democratic_governance","- In an effort to capitalize on regional and international expertise, UNDP organized capacity building using South-South cooperation agreements (in 2012, 150 training programmes and workshops were conducted in frameworks of NABD, of which 40 were abroad). Once an issue is identified for support through capacity assessment, exposure visits are organised as a mean to learn best practices and adapt them to the Afghan context.  Among them were the visits to the Philippines to study agriculture co-operatives, training in India for the Central Statistics Office and workshops on women participation in leadership and development in Turkey for the Gender Units of 15 Ministries. Additionally, 40 international and regional training programmes and exposure visits took place to leading institutions in Kazakhstan, Republic of Korea, Kyrgyzstan, the Philippines, Sri Lanka, Tajikistan and Turkey. They were carried out through South-South governmental collaboration agreements to support organizational capacity and aid policy development. Moreover, Equipment including laptops interactive customs information units and special customs books was handed over by Azerbaijan's State Customs Committee (SCC) as part of a special South-South Cooperation initiative facilitated by UNDP in Afghanistan and Azerbaijan. - UNDP facilitated capacity building and knowledge sharing as part of its support to South-South Cooperation under the National Institution Building Programme (NIBP). 10 Afghan delegates comprising experts from the Ministry and independent agricultural researchers and entrepreneurs went on a five-day training on mushroom cultivation in Solan, India. ","fragile_states","national_governments","http://open.undp.org/#project/00058898","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00058898.txt"
"00059058",00059058,"Catalysing Sustainability of Thailand's Protected Area System","To overcome barriers to sustainability of Thailand's protected area (PA) system by addressing effective management and sustainable financing of protected areas. The project will build the confidence and capacities of the PA management authorities and provide them with resources to test innovative PA management and financing schemes. In addition, it will support the development of appropriate incentives.","country-country","THA","asia_pacific","knowledge_broker","sustainable_development_pathways","UNDP will facilitate knowledge sharing through a protected area (PA) system for countries in the region. The project's approach to strengthening overall PA management effectiveness and PA financing will be replicable to other countries in the region and other parts of the world too. Lessons from this project will be made available to other nations through websites, publications and lessons sharing through the government, GEF and UNDP. UNDP and GEF are supporting similar PA financing projects in Asia (for example Mongolia and Vietnam) and replication of successful approaches in Thailand could be of interest to these countries. Within the project, many activities will focus on testing and demonstrating specific approaches in five demonstration sites. The project has built in mechanisms so that lessons from the demonstration sites are learnt and disseminated throughout the PA system. One innovative approach to do this, proposed by this project, is to have peer review by other PA superintendents of actions at demonstration sites.","mic","national_governments","http://open.undp.org/#project/00059058","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059058.txt"
"00059194",00059194,"Catalysing financial sustainability of the protected area system in Montenegro","To improve the financial sustainability of protected area (PA) system in Montenegro through enabling legal and policy environment for improvement financial sustainability, securing revenue streams for PA, and development of institutional and individual capacities of PA institutions to raise PA management cost-effectiveness. Results include- a) piloting payment for ecosystem services (PES) scheme in Durmitor, nature-based tourism concession process in Komovi Regional Park, and innovative revenue generation for PA (rafting, canoeing, kayaking, biking, rock climbing, caving,etc); b) development of a national 5-yaer PA funding plan; c) developing institution capacity to raise management cost-effectiveness and improving legal/policy environment for PA financial sustainability.","country-country","MNE","europe_cis","knowledge_broker","resilience_building","In this programme, UNDP will facilitate and participate in bilateral and multilateral working groups to exchange lessons learnt between complementary PA establishment projects currently underway, including- (a) Delta Bojana River/Buna River as part of the World Bank Montenegro Sustainable Development Project; (b) a cross-border protected area between Bosnia-Herzegovina and Montenegro in the region of Maglic-Bioc-Volujak as part of the UNEP/ENVSEC Enhancing Trans boundary Biodiversity Management in South East Europe project; (c) the ADA-GTZ-SNV Prokletije(Albania) / Bjeshkët e Namuna Cross-border Mountain Range Development Programme. ","mic","national_governments|cso|academia","http://open.undp.org/#project/00059194","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059194.txt"
"00059364",00059364,"Sustainable Land Management in Highlands of Kilimanjaro","To remove the barriers, through a multi-level approach. At the local level, it will strengthen capacity and incentives for SLM through participatory planning processes involving the local institutions and knowledge systems. This will be complemented by a national level dialogue on SLM which will facilitate national level stakeholders to identify ways to adopt a systematic approach to SLM. The project goal is 'Sustainable Land Management provides the basis for economic development, food security and sustainable livelihoods while restoring the ecological integrity of the Kilimanjaro region's ecosystems'. The objective will be 'to provide land users and managers with the enabling environment (policy, financial, institutional, capacity) for SLM adoption. The outcomes are- 1) The policy, regulatory and institutional framework that support sustainable land management; 2) Markets support expansion of livelihood options in Kilimanjaro to reduce pressure on agriculture and natural resources and increase income- 3) Institutions with capacities and skills to undertake knowledge based sustainable land use planning and adopt methods and technologies for climate change resilient NR supported development- 4) Project managed effectively, lessons used to upscale SLM in the region and the country","country-country","TZA","africa","knowledge_broker","resilience_building","The management and technical team of Sustainable Land Management (SML) Kilimanjaro project conducted a study tour to Uganda in order to learn and share experiences on sound implementation of SLM projects. The team shared relevant lessons and experiences on the successful implementation of this project in Uganda. This initiative for South-South cooperation was necessitated by the current challenges facing the SLM project in Kilimanjaro, in which practices are not being well articulated in national policies, difficulties in enforcement and compliance, and conflicts with existing laws and policies. UNDP facilitated the learning exchange between the two countries. ","ldc","national_governments|cso","http://open.undp.org/#project/00059364","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059364.txt"
"00059392",00059392,"Environment and Security Initiative (ENVSEC) - Transforming Environmental and Security Risks into Cooperation in South East Europe region","To contribute to the reduction of environment and security risks, and to the increased cooperation around environment and security issues in the region of South Eastern Europe (SEE).  The Environment and Security Initiative (ENVSEC) supports the 'Security' and 'Energy & Environment' themes of the framework programme for the Finnish and Austrian development cooperation in the Western Balkans through the identification, prevention and reduction of environmental conflicts and tensions over shared natural resources and ecosystems, sources of pollution and waste among and within countries in the Western Balkans and their neighbours.  Countries include Albania, Bosnia and Herzegovina, Montenegro, Serbia, the FYR of Macedonia and Kosovo.","country-country","MNE","europe_cis","knowledge_broker","resilience_building","In this regional programme, UNDP will facilitate the knowledge exchange and lessons learned from the participating countries through SEE networks. ","mic","regional_inter_governmental_organizations|international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00059392","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059392.txt"
"00059495",00059495,"Sustainable Forest Management in the Gran Chaco","To reverse the trends of land degradation in the Gran Chaco by supporting sustainable land management in the productive landscape. This project is part of an initiative funded by the Fund for Global Environment involving the Gran Chaco region of Argentina, Bolivia and Paraguay, called Sustainable Forest Management in the Transboundary Gran Chaco American Ecosystem","country-country","ARG","lac","knowledge_broker","resilience_building","UNDP will provide techinical support, coordination and facilitation of knowledge exchange ","mic","national_governments","http://open.undp.org/#project/00059495","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059495.txt"
"00059520",00059520,"Electricity Production from Biomass in Uruguay","","country-country","URY","lac","knowledge_broker","sustainable_development_pathways","UNDP facilitated knowledge exchange among Cuba, Bolivia and Uruguay on biomass energy. Uruguay received a Cuban mission and shared their experience of PROBIO Project and biomass sector. In accordance with the south-south cooperation agreement between Uruguay and Bolivia, the Ministry of Planning of Uruguay hosted an study visit for the Bolivian delegation and presented their experience.  ","hic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059520.txt"
"00059686",00059686,"Youth Exchange Programme for the Ministry of Foreign Affairs","To benefit from the diplomatic achievements of the Ministry of Foreign Affairs (MOFA) and them in the service of the Kingdom's vision to strengthen the culture of dialogue among nations. In this respect, the project has a set of outputs as follows- 1) participation of the Saudi youth in international forums to enhance their leadership and dialogue skills; 2) encouragement of the youth contribution to the national development process; and 3) promoting youth participation in their local communities.","country-country","SAU","arab_states","knowledge_broker","sustainable_development_pathways","UNDP facilitated exchanges between Saudi youth, both female and male, andtheir counterparts in fellow G20 countries like Brazil, China, India, South Africa, South Korea to share development solutions on green economy (South Korea), ICT4D (India), urban development (Brazil), health and development (China) and environmental sustainability (South Africa). ","hic","national_governments","http://open.undp.org/#project/00059686","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059686.txt"
"00059713",00059713,"MENARID - Institutional Strengthening and Coherence for Integrated Natural Resource Management","To strengthen institutions by contributing to the removal of constraints to integrated natural resources management (INRM)","country-country","IRN","asia_pacific","knowledge_broker","resilience_building","UNDP facilitated knowledge exchange on institutional approaches and mechanisms of integrated natural resources management. With this aim, study tours to India were organized by UNDP. ","mic","national_governments","http://open.undp.org/#project/00059713","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059713.txt"
"00059731",00059731,"CPAP Implementation Support Project","To support the efficient implementation of the CPAP 2010-2015 and ensure successful delivery of outcomes. UNDP assistance will offer a continuum of strategic programmatic support in the same substantive areas as its predecessor country programme (2005-09), namely- i) economic governance and poverty reduction; ii) environment and energy, and; iii) democratic governance. The expected output of the project is - UNDP is maintained as a knowledge hub to further develop Government capacity at national and local levels to better implement projects and ensure successful implementation of the CPAP 2010-2015.","country-country","UZB","europe_cis","builder_of_capacities|knowledge_broker","sustainable_development_pathways","UNDP will conduct internal strengthening of its program and project personnel to support the application of the result-based management methods and tools and establish information sharing and best practice exchange internally and through the ongoing close engagement of UNDP's regional centre based in Bratislava, and through various channels including south-south  and learning emanating from the Central Asian region. ","mic","international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00059731","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059731.txt"
"00059795",00059795,"Energy-Efficient Design and Construction of Residential Buildings","To decrease GHG emissions from new residential buildings by transforming practices and markets in the building sector of Kazakhstan towards more energy-efficient design and construction.","country-country","KAZ","europe_cis","knowledge_broker","resilience_building","UNDP will provide support to sharing of knowledge and  best practices with other related UNDP/GEF projects on energy efficiency in buildings in several countries of Central Asia and the former USSR, including Russia, Uzbekistan, Kyrgyzstan, Turkmenistan, and Armenia.","mic","national_governments","http://open.undp.org/#project/00059795","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059795.txt"
"00059850",00059850,"Empowering Vulnerable Local Communities of Albania","(1) support participation of vulnerable communities in local decision making –through identification of priorities and preparation of Community Development Plans. Following the development priorities identified through Community Based Organizations, the programme works closely with local governments to complete a number of community infrastructure projects, such as roads, health centres, kindergartens, community centres etc; (2) To help  vulnerable communities   access their rights, particularly access to public services –through civil registration, community policing, establishing and strengthening network of Roma mediators in areas of health education and child protection as well as  supporting vocational training and employment. 3- To promote policies and institutional strengthening for social inclusion of vulnerable communities through – capacity building and assistance to local and central government institutions and build capacities of Roma and Egyptian NGOs. In 2008 Albania joined the regional initiative 'Decade of Roma Inclusion' which aims to close the gap in welfare and living conditions between the Roma and non-Roma populations as well as putting an end to poverty and exclusion that many Roma find themselves in.  Based on that Albania developed a national Decade Action Plan that specifics the goals and indicators in the areas of education, employment, health and housing.","country-country","ALB","europe_cis","builder_of_capacities|knowledge_broker","sustainable_development_pathways","UNDP facilitated knowledge exchange and capacity building- (1) UNDP gathered experience on community development projects targeting Roma from Serbia, Montenegro, Kosovo, and Slovakia. Evaluations and methodologies from these experiences were used for implementation; (2) a field visit to Bulgaria, Croatia or Serbia (facilitated by UNDP COs) is planned  for representatives of the Technical Secretariat for Roma, representatives of the local government units benefiting from the project and project staff.  The aim of the study visit is to exchange experiences and become familiar with the approaches, strategies and methods used in other countries to tackle similar problems as they are part of the 'Decade of Roma Inclusion' initiative.  This was embedded as output 3.3.2. ","mic","international_cooperation_development_agencies|national_governments|cso","http://open.undp.org/#project/00059850","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059850.txt"
"00059926",00059926,"Support to the 2010-2012 Liberian Electoral Cycle","To suppurt electoral process in Liberia","country-country","LBR","africa","builder_of_capacities|knowledge_broker","inclusive_and_effective_democratic_governance","UNDP will facilitate knowledge sharing and capacity building through study tours for the National Elections Commission (NEC) staff to countries and institutions in order to provide most relevant examples on improving electoral institutions processes and laws. This will further strengthen the capacity of the NEC staff. ","fragile_states","international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00059926","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059926.txt"
"00059937",00059937,"Improving Energy Efficiency in Buildings","The objective of the GEF full size project is to reverse the existing trends and reduce consumption of electrical and thermal energy and associated GHG emissions in new and restored, primarily residential buildings in Armenia. It will do this by creating enabling regulatory environment, skills and capacity among industry professionals to introduce the principles of integrated building design in Armenian construction practices from the stage of building design through construction to maintenance of the buildings. The support to be provided by the project will combine development of a new regulation (EE building codes and certification scheme) with the training of professionals, demonstration of integrated building design and stimulating manufacturing of new EE materials and equipment.","country-country","ARM","europe_cis","builder_of_capacities|knowledge_broker","resilience_building","UNDP will facilitate capacity building and exchange of best practices and experiences from other countries with similar energy efficient building projects in the region, such as Kyrgyzstan, Uzbekistan and Turkey. UNDP will also facilitate access to good practices on building codes and standards of construction work from other CIS countries. ","mic","national_governments|academia|private_sector","http://open.undp.org/#project/00059937","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00059937.txt"
"00060083",00060083,"Enhance Efficiency & Accountability of the Public Sector","The project is a multi-level intervention where e-Governance solutions are applied in order to increase efficiency and accountability of Public Sector's processes, improve the delivery of services to the citizen, and enhance coordination among different government entities. to provide technical support to the national counterpart, the Ministry of State for Administrative Development (MSAD), with regard to the following focus areas- 1) Integration of national databases to enhance inter-agency coordination 2) Modernization of existing Personnel Offices on the model of Human Resources offices, 3) Enhancement of Government to citizen services and establishment of new channels for service provision, 4) Communication strategy to promote the use of e-Government services, 5) Enhancement of MSAD South-South cooperation strategy on e-Government.","country-country","EGY","arab_states","builder_of_capacities","inclusive_and_effective_democratic_governance","UNDP will provide capacity building and facilitate knowledge exchange to assist the Government of Egypt to enhance the Ministry of State for Administrative Development (MSAD) South-South Cooperation strategy on e-Government.  Knowledge sharing on e-Government with African countries is among MSAD priorities in order to advance ICT for an improved service delivery.  ","mic","national_governments","http://open.undp.org/#project/00060083","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060083.txt"
"00060163",00060163,"Purposeful strengthening and expanding of qualified services on TB diagnostics and treatment in Turkmenistan","To reduce the burden of tuberculosis in Turkmenistan by consolidation of DOTS framework, its expansion by introducing and scaling up the management of drug-resistant tuberculosis and strengthening the health system performance for effective TB control. The project will contribute to reaching the TB control targets that have been set in line with the international strategies such as the revised WHO Stop TB Strategy and the Global Plan to Stop TB 2006-2015, and reiterated in the National Strategy for Prevention and Control of Tuberculosis in Turkmenistan for Years 2008-2015. The overall impact of the project is in line with the national goals, such as those identified in the proposal approved by the Global Fund for Round 9, in line with the Strategy of Economic, Political and Cultural Development of Turkmenistan for the period of up to 2020 and sector national programmes, such as the National Programme for Improvement of Social and Living Conditions of the Rural Population for the period up to 2020.","country-country","TKM","europe_cis","knowledge_broker","sustainable_development_pathways","UNDP will facilitate knowledge exchange study tours and training in priority issues of DR-TB management in Latvia, the Russian Federation and othr relevant countries.","mic","international_cooperation_development_agencies|national_governments|cso","http://open.undp.org/#project/00060163","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060163.txt"
"00060222",00060222,"Strengthening Disaster Risk Management Capacities in Uzbekistan","To build upon and expand the UNDP Uzbekistan assistance to paramount institutions empowered to create sustainable mechanisms for disaster risk reduction and to raise the disaster risk reduction capacities of the Ministry of Emergency situations etc. The project will be implemented in phases and will provide a multi dimensional platform to deliver capacity development and assistance. The overall objective will focus on - 1) Strengthening the capacities of Ministry of Emerging Situation and other disaster risk reduction stakeholders in Uzbekistan to migate, reduce the disaster risks and respond in a timely and strategic manner to any major catastrophic life threatening event in Tashkent and other high-risk locations; 2) Expanding community-based disaster risk reduction activities in accordance with national guidelines on preparedness, mitigation and response activities to a natural disaster; 3) Enhancing the capacity of the United Nations country team to create a unified disaster preparedness and response strategy to support Uzbekistan in the event of a catastrophic disaster.","country-country","UZB","europe_cis","knowledge_broker","resilience_building","UNDP will facilitate the dissemination of project's results, and use them as  a precedence to implement integrating a disaster risk reduction strategy into the overall national development agenda. In addition, findings from the project will enable incoming study tours for other selected countries and international  agencies for mutual review of mitigation and disaster management experience and demonstration of Uzbekistan's own sustained efforts. ","mic","regional_inter_governmental_organizations","http://open.undp.org/#project/00060222","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060222.txt"
"00060432",00060432,"Inclusive Pro-Poor Development Policies","To produce four broad outputs in four broad areas- access to financial services and other productive resources; institutional capacity for pro-poor policies; mainstreaming poverty into development processes; and social Protection","country-country","BWA","africa","","sustainable_development_pathways","Role of UNDP to be defined","mic","national_governments","http://open.undp.org/#project/00060432","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060432.txt"
"00060492",00060492,"Improving the Resilience of the Agriculture Sector in Lao PDR to Climate Change Impacts","To address impacts of climate change on the agriculture sector, with an emphasis on developing and piloting new adaptation actions and activities within existing agro-ecosystems.","country-country","LAO","asia_pacific","knowledge_broker","resilience_building","UNDP facilitate knowledge sharing. Outcome 4- The project will systematically provide quantitative and qualitative data and information on coded ‘lessons learned' and a website has been established linked to wider dissemination through regional and global networks (ALM, Wiki-adapt, Eldis and the Asia Knowledge Platform). By the end of the project 2 regional conferences on CC+AA are organized by NAFRI for GMS member states (in collaboration with partner organizations) for SE ASIA","ldc","national_governments","http://open.undp.org/#project/00060492","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060492.txt"
"00060493",00060493,"Conflict Prevention Project (CCP)","","country-country","NPL","asia_pacific","knowledge_broker","resilience_building","Facilitated by UNDP in Nepal's Conflict Prevention Project (CPP) and its Timor-Leste counterpart, the Nepali team trained 28 officials of Timor-Leste's Ministry of Social Solidarity on integrating conflict sensitivity, especially the “Do No Harm' approaches in development programming. UNDP facilitated study tours of Timor-Leste officials to Nepal to share their experience and knowledge on how to mainstream conflict sensitivity into all government ministries in both programming and policy works. ","fragile_states","national_governments","http://www.undp.org/content/nepal/en/home/ourwork/crisispreventionandrecovery/successstories/nepal-shares-technical-expertise-with-timor-leste-on-conflict-sensitivity.html","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060493.txt"
"00060500",00060500,"Developing the Protected Area System of Armenia","To conserve globally significant biodiversity in Armenia. The project's objective is to catalyse the expansion of the nature reserves to provide better representation of ecosystems within Armenia's current protected area system and enable active conservation of biodiversity. The project's two components will focus upon- (1) rationalization of the PA system through improving the regulatory and institutional framework relevant to Sanctuary establishment and operation; and (2) institutional capacity building by piloting a suite of Sanctuary management tools largely absent from Armenian's current protected area management regime. This project's efforts will result in a national protected area system better equipped to include and conserve currently under-represented ecosystems and associated species. Project investment will be in community areas to improve management of productive landscapes while helping to promote connectivity and alleviate poverty. The project will enhance the financial sustainability of Armenia's protected area system. These ecosystems outside the shelter of Armenia's protected areas are critical to the long-term conservation of several globally significant species, including many endemic agro-biodiversity resources.","country-country","ARM","europe_cis","knowledge_broker","resilience_building","UNDP facilitates the knowledge exchange to transfer best practices on protected area management planning from Georgia to Armenia. At the same time, the lessons generated in Armenia by the project will be made available for the Georgian counterparts. ","mic","national_governments|cso","http://open.undp.org/#project/00060500","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060500.txt"
"00060518",00060518,"Guiana Shield Facility","To promote GSF as a sustainable financial vehicle for the conservation and sustainable development of the Guiana Shield ecoregion.","country-country","GUY","lac","knowledge_broker","resilience_building","UNDP facilitated the exchange of information and experiences between Guyana and Surinam on climate policies, strategy, stakeholder engagement processes and supported in drafting of the Readiness Preparation Proposal for the Forest Carbon Partnership Facility as part of a broad collaboration between Guyana and Suriname on climate change and REDD+. As a result, Suriname's REDD+ Readiness Preparation Proposal (R-PP) was approved by the World Bank FCPF; UNDP/GSF catalytic financing leveraged USD3.8 million for Suriname to implement the R-PP.","sids","regional_inter_governmental_organizations|national_governments","http://open.undp.org/#project/00060518","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060518.txt"
"00060592",00060592,"Integrated Water Resources Management","To address the development of Integrated Water Resource Management (IWRM) mechanisms and Water Use Efficiency strategies, policy and legislative reforms, institutional and human resource capacity building; through the adoption of an integrated and participatory management approach and promoting more effective, appropriate technologies and methodologies as well as the adoption of strategies to deal with extreme and chronic events and of more appropriate resource valuation and pricing policies.There are 6 participating SIDS namely Cape Verde, Comoros, Maldives, Mauritius, Sao Tome and Principe, and Seychelles and each country has a different demo project executed by UNDP and a capacity building component executed by UNEP.","country-country","MUS","africa","knowledge_broker|facilitator_of_partnerships","resilience_building","UNDP will assist in organising knowledge sharing and act as a facilitator between the participating SIDS.","sids","international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00060592","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060592.txt"
"00060736",00060736,"South-South Project to Strengthen the Ministry of Public Health and Population","This project falls within the framework of the Memorandum of Understanding between Brazil, Cuba and Haiti, to the strengthening of the health system and epidemiological surveillance in Haiti between the Ministries of Health of Brazil, Cuba and Haiti in the context of reconstruction of that country. It seeks the institutional strengthening of the health authority- Ministry of Public Health and Population of Haiti, strengthening the capacity of epidemiological surveillance, vocational training of Haitian health technicians and training of community health workers.","country-country","BRA","lac","knowledge_broker","sustainable_development_pathways","UNDP supports knowledge exchange among Haiti, Cuba and Brazil. UNDP Haiti experience and know-how in rebuilding the country will serve as an important component. Missions to monitor the progress and exchange experience are planned. UNDP is also responsible for the development of planning activities, monitoring and assistance in the procurement of goods and services. ","mic","national_governments","http://open.undp.org/#project/00060736","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060736.txt"
"00060771",00060771,"Strengthening Capacities for Results Based Management","To strengthen the capacity for Results Based Management (RBM) in Egypt to increase the effectiveness of national development efforts. The project is the first phase of a two phase process that will initially strengthen internal capacities for RBM in the Ministry of State of Administrative Development and extend RBM technical support to a number of priority ministries during the course of Phase II. The project aims to strengthen capacities through a multi-phased approach designed to build on existing capacities and the demonstration effects of a few pilot entities. At the end of the project (phases 1 and 2), Government, national stakeholders and development partners should have customized, strong and useful frameworks, systems and tools to support results based planning, monitoring, evaluation and reporting of the National Development Plan and other National Entities' Development Plans.","country-country","EGY","arab_states","knowledge_broker","inclusive_and_effective_democratic_governance","UNDP will conduct two study tours to Latin America and the Asia Pacific region, which championed in applying the Results Based Management (RBM) models. The study tours will enable the Egyptian counterparts to examine the degree to which RBM has fostered a results culture within national entities, increased aid effectiveness and enhanced capacity to achieve development results. ","mic","national_governments","http://open.undp.org/#project/00060771","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060771.txt"
"00060792",00060792,"Energy Efficient Lighting","To help transform the market towards more energy efficient lighting technologies by removing barriers which will contribute to the goal of reducing greenhouse gas emissions. Actions will be taken by the project to promote a gradual phase-out of inefficient lighting products in residential and public buildings. Global Environmental Facility participation in pilot projects at schools will remove existing barriers in seven pilot cities/municipalities and provide for the replication of defined approaches and measures in other major cities of Ukraine.","country-country","UKR","europe_cis","knowledge_broker","resilience_building","Since a similar project has recently started in Russia, UNDP will facilitate the knowledge sharing and exchanges of ideas between Ukraine and Russia. By doing so, it is envisaged that common problems or mistakes can be shared and avoid being replicated by similar projects in neighbouring countries. ","mic","regional_inter_governmental_organizations","http://open.undp.org/#project/00060792","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00060792.txt"
